"filename", "language", "Python", "comment", "blank", "total"
"c:\ProgrammingProjects\Sanstat\Labb1\main.py", "Python", 9, 0, 4, 13
"c:\ProgrammingProjects\Sanstat\Labb1\plotting.py", "Python", 36, 1, 16, 53
"c:\ProgrammingProjects\Sanstat\Labb1\tools.py", "Python", 62, 0, 26, 88
"c:\ProgrammingProjects\Sanstat\Labb1\uppgift1.py", "Python", 69, 5, 14, 88
"c:\ProgrammingProjects\Sanstat\Labb1\uppgift2.py", "Python", 28, 13, 22, 63
"c:\ProgrammingProjects\Sanstat\Labb1\uppgift3.py", "Python", 45, 11, 22, 78
"c:\ProgrammingProjects\Sanstat\Labb1\uppgift4.py", "Python", 85, 8, 26, 119
"c:\ProgrammingProjects\Sanstat\Labb1\uppgift5.py", "Python", 44, 0, 13, 57
"c:\ProgrammingProjects\Sanstat\Labb1\uppgift6.py", "Python", 38, 6, 16, 60
"c:\ProgrammingProjects\Sanstat\Labb1\uppgift7.py", "Python", 53, 6, 22, 81
"c:\ProgrammingProjects\Sanstat\Labb1\utils.py", "Python", 28, 0, 9, 37
"Total", "-", 497, 50, 190, 737
